graph,coef,lb95,ub95,interaction,interactionss,ene,avg,iden1,iden2,iden3,policy_1,policy_2,order_1,order_2
local_masks#local_fines,.3996483,.1457873,.6535093,1,1,84484,1.189361,covid_1,checkpoints,m5,local_masks,local_fines,7,6
local_masks#local_fines,.3975927,.144293,.6508925,1,1,84484,1.189361,covid_1,curfew,m5,local_masks,local_fines,7,6
local_masks#inflow_fines,-.1848373,-.4204205,.050746,1,0,84484,1.189361,covid_1,masks,m5,local_masks,inflow_fines,7,16
local_masks#inflow_publicplaces,.1643079,-.0433956,.3720113,1,0,84484,1.189361,covid_1,masks,m5,local_masks,inflow_publicplaces,7,19
local_masks,.0802959,-.1609022,.3214939,0,0,84484,1.189361,covid_1,masks,m5,local_masks,,7,
local_mobility#local_fines,-.3116126,-.5102698,-.1129555,1,1,84484,1.189361,covid_1,businesses,m5,local_mobility,local_fines,8,6
local_mobility#local_fines,-.3197525,-.5212497,-.1182552,1,1,84484,1.189361,covid_1,public places,m5,local_mobility,local_fines,8,6
local_mobility#local_fines,-.3175497,-.517888,-.1172114,1,1,84484,1.189361,covid_1,curfew,m5,local_mobility,local_fines,8,6
local_mobility#local_fines,-.3127514,-.5126987,-.1128042,1,1,84484,1.189361,covid_1,alcohol,m5,local_mobility,local_fines,8,6
local_mobility#local_fines,-.3202478,-.5212097,-.1192859,1,1,84484,1.189361,covid_1,checkpoints,m5,local_mobility,local_fines,8,6
local_mobility#local_fines,-.3094345,-.5137862,-.1050829,1,1,84484,1.189361,covid_1,masks,m5,local_mobility,local_fines,8,6
local_mobility#local_fines,-.3186376,-.5207627,-.1165125,1,1,84484,1.189361,covid_1,mobility,m5,local_mobility,local_fines,8,6
local_mobility#local_fines,-.30604,-.5057203,-.1063597,1,1,84484,1.189361,covid_1,events,m5,local_mobility,local_fines,8,6
local_mobility#inflow_publicplaces,.3102659,-.007135,.6276668,1,0,84484,1.189361,covid_1,mobility,m5,local_mobility,inflow_publicplaces,8,19
local_mobility,.0196872,-.2201402,.2595145,0,0,84484,1.189361,covid_1,mobility,m5,local_mobility,,8,
local_publicplaces#local_checkpoints,-.1625649,-.7033729,.378243,1,0,84484,1.189361,covid_1,public places,m5,local_publicplaces,local_checkpoints,9,3
local_publicplaces,-.0438998,-.435016,.3472163,0,0,84484,1.189361,covid_1,public places,m5,local_publicplaces,,9,
inflow_alcohol#inflow_mobility,-.1031205,-.182588,-.023653,1,1,84484,1.189361,covid_1,alcohol,m5,inflow_alcohol,inflow_mobility,11,18
inflow_alcohol,-.404167,-.8380526,.0297185,0,0,84484,1.189361,covid_1,alcohol,m5,inflow_alcohol,,11,
inflow_businesses#local_alcohol,.1533872,-.0467396,.3535141,1,0,84484,1.189361,covid_1,curfew,m5,inflow_businesses,local_alcohol,12,1
inflow_businesses#local_alcohol,.1565749,-.0441019,.3572516,1,0,84484,1.189361,covid_1,checkpoints,m5,inflow_businesses,local_alcohol,12,1
inflow_businesses#local_alcohol,.1067349,-.0592589,.2727287,1,0,84484,1.189361,covid_1,businesses,m5,inflow_businesses,local_alcohol,12,1
inflow_businesses#local_alcohol,.1590862,-.0509298,.3691022,1,0,84484,1.189361,covid_1,mobility,m5,inflow_businesses,local_alcohol,12,1
inflow_businesses#local_alcohol,.1560394,-.0357275,.3478063,1,0,84484,1.189361,covid_1,fines,m5,inflow_businesses,local_alcohol,12,1
inflow_businesses#local_alcohol,.1680839,-.0503672,.386535,1,0,84484,1.189361,covid_1,masks,m5,inflow_businesses,local_alcohol,12,1
inflow_businesses#local_alcohol,.1092322,-.0610026,.2794669,1,0,84484,1.189361,covid_1,events,m5,inflow_businesses,local_alcohol,12,1
