graph,coef,lb95,ub95,ene,avg,iden1,iden2,iden3,order
lasso interactions local masks,-.0645744,-.1525339,.0233851,84484,1.199242,covid_1_pc,masks,m5_21,7
lasso interactions local mobility,-.0815475,-.1657332,.0026382,84484,1.199242,covid_1_pc,mobility,m5_21,8
lasso interactions local public places,-.1644878,-.3070802,-.0218954,84484,1.199242,covid_1_pc,public places,m5_21,9
lasso interactions inflow alcohol,.0285169,-.0165403,.0735741,83452,.7758597,covid_1_pc,alcohol,m5_lags,1
lasso interactions inflow businesses,.036551,-.022527,.095629,83452,.7758597,covid_1_pc,businesses,m5_lags,2
lasso interactions inflow checkpoints,.0764384,.0097735,.1431033,83452,.7758597,covid_1_pc,checkpoints,m5_lags,3
lasso interactions inflow curfew,.0193313,-.0682552,.1069178,83452,.7758597,covid_1_pc,curfew,m5_lags,4
lasso interactions inflow events,.0323239,-.041724,.1063718,83452,.7758597,covid_1_pc,events,m5_lags,5
lasso interactions inflow fines,-.0103755,-.0592061,.0384551,83452,.7758597,covid_1_pc,fines,m5_lags,6
lasso interactions inflow masks,.0380499,-.0336934,.1097931,83452,.7758597,covid_1_pc,masks,m5_lags,7
lasso interactions inflow mobility,.0225481,-.0380388,.083135,83452,.7758597,covid_1_pc,mobility,m5_lags,8
lasso interactions inflow public places,.0622655,-.0068139,.1313448,83452,.7758597,covid_1_pc,public places,m5_lags,9
lasso interactions local alcohol,.1326918,-.0119906,.2773742,83452,.7758597,covid_1_pc,alcohol,m5_lags,1
lasso interactions local businesses,.0932141,-.0518383,.2382664,83452,.7758597,covid_1_pc,businesses,m5_lags,2
lasso interactions local checkpoints,-.0374115,-.1218933,.0470704,83452,.7758597,covid_1_pc,checkpoints,m5_lags,3
lasso interactions local curfew,-.0846094,-.1910076,.0217888,83452,.7758597,covid_1_pc,curfew,m5_lags,4
lasso interactions local events,1.202063,-1.077412,3.481539,83452,.7758597,covid_1_pc,events,m5_lags,5
lasso interactions local fines,.1635253,.0558102,.2712404,83452,.7758597,covid_1_pc,fines,m5_lags,6
lasso interactions local masks,.0401648,-.1012828,.1816123,83452,.7758597,covid_1_pc,masks,m5_lags,7
lasso interactions local mobility,.0130502,-.0492315,.0753319,83452,.7758597,covid_1_pc,mobility,m5_lags,8
lasso interactions local public places,-.2176072,-.3661561,-.0690583,83452,.7758597,covid_1_pc,public places,m5_lags,9
lasso interactions inflow alcohol,.016914,-.0052961,.039124,83452,.083758,deaths_pc,alcohol,m5_lags,1
lasso interactions inflow businesses,.0095298,-.0127241,.0317838,83452,.083758,deaths_pc,businesses,m5_lags,2
lasso interactions inflow checkpoints,.0158139,.0005907,.0310371,83452,.083758,deaths_pc,checkpoints,m5_lags,3
lasso interactions inflow curfew,.0009385,-.0054249,.007302,83452,.083758,deaths_pc,curfew,m5_lags,4
lasso interactions inflow events,.0067049,-.0139246,.0273344,83452,.083758,deaths_pc,events,m5_lags,5
lasso interactions inflow fines,.0004572,-.0079426,.008857,83452,.083758,deaths_pc,fines,m5_lags,6
lasso interactions inflow masks,.01189,-.0031228,.0269027,83452,.083758,deaths_pc,masks,m5_lags,7
lasso interactions inflow mobility,.0209996,.0089734,.0330257,83452,.083758,deaths_pc,mobility,m5_lags,8
lasso interactions inflow public places,.0211635,.0028103,.0395168,83452,.083758,deaths_pc,public places,m5_lags,9
lasso interactions local alcohol,.0098061,-.0142206,.0338328,83452,.083758,deaths_pc,alcohol,m5_lags,1
lasso interactions local businesses,-.0098935,-.0269332,.0071462,83452,.083758,deaths_pc,businesses,m5_lags,2
lasso interactions local checkpoints,.0053448,-.0097202,.0204099,83452,.083758,deaths_pc,checkpoints,m5_lags,3
lasso interactions local curfew,.0019155,-.009542,.013373,83452,.083758,deaths_pc,curfew,m5_lags,4
lasso interactions local events,.0066367,-.0611985,.0744719,83452,.083758,deaths_pc,events,m5_lags,5
lasso interactions local fines,.0007422,-.0155411,.0170256,83452,.083758,deaths_pc,fines,m5_lags,6
lasso interactions local masks,.0002608,-.0107519,.0112734,83452,.083758,deaths_pc,masks,m5_lags,7
lasso interactions local mobility,-.0057108,-.0185653,.0071436,83452,.083758,deaths_pc,mobility,m5_lags,8
lasso interactions local public places,-.0080643,-.0212573,.0051288,83452,.083758,deaths_pc,public places,m5_lags,9
