,parameter,newspaper,title,date,search_,type_newspaper
237,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176727, Consenso del PIB para Brasil en 2020 cae a -51% mayor desplome registrado: sondeo, 2020-05-18T08:24:56,                          capitalcoahuila.com.mx-?p=176727, wordpress
238,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176723, China registra un alza de la polución con el desconfinamiento, 2020-05-18T08:09:56,                          capitalcoahuila.com.mx-?p=176723, wordpress
239,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176721, Iglesias y cafés reabren en Italia y Grecia; España espera vuelta de turistas en verano, 2020-05-18T08:09:54,                          capitalcoahuila.com.mx-?p=176721, wordpress
240,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176713, METALES PRECIOSOS-Oro se dispara mientras inversores buscan seguridad, 2020-05-18T07:39:53,                          capitalcoahuila.com.mx-?p=176713, wordpress
241,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176701, PETRÓLEO-Barril se dispara por expectativas en reapertura económica, 2020-05-18T07:09:50,                          capitalcoahuila.com.mx-?p=176701, wordpress
242,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176695, El aeropuerto de Heathrow urge a Reino Unido a abrir &#8220;burbujas de viaje&#8221;, 2020-05-18T06:39:49,                          capitalcoahuila.com.mx-?p=176695, wordpress
243,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176683, EXCLUSIVA-España quiere evitar recurrir al fondo de rescate de la UE, 2020-05-18T03:39:53,                          capitalcoahuila.com.mx-?p=176683, wordpress
244,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176679, El repunte del petróleo impulsa las bolsas europeas en pleno desconfinamiento, 2020-05-18T03:39:51,                          capitalcoahuila.com.mx-?p=176679, wordpress
245,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176655, &#8220;Métricas médicas&#8221; son los datos más importantes para EEUU en este momento: Powell de Fed, 2020-05-17T20:09:52,                          capitalcoahuila.com.mx-?p=176655, wordpress
246,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176653, &#8220;Métricas médicas&#8221; son los datos más importantes para economía EEUU en este momento: Powell de Fed, 2020-05-17T19:54:51,                          capitalcoahuila.com.mx-?p=176653, wordpress
247,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176649, GM dice a trabajadores México que planea reanudar operaciones 20 de mayo en planta Silao, 2020-05-17T18:24:52,                          capitalcoahuila.com.mx-?p=176649, wordpress
248,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176647, Italia pospone entrenamientos normales de clubes de fútbol mientras se discuten normas médicas, 2020-05-17T17:39:53,                          capitalcoahuila.com.mx-?p=176647, wordpress
249,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176645, Bukele decreta emergencia en El Salvador y genera nuevo choque con el Congreso, 2020-05-17T16:09:54,                          capitalcoahuila.com.mx-?p=176645, wordpress
250,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176631, Disney dice que reabrirá el miércoles la zona comercial en su complejo de Florida, 2020-05-17T09:54:46,                          capitalcoahuila.com.mx-?p=176631, wordpress
251,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176625, Operar sin parar mayor mercado de México desafía al coronavirus, 2020-05-17T08:54:47,                          capitalcoahuila.com.mx-?p=176625, wordpress
252,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176615, Boris Johnson admite que haya frustración pública ante el alivio de las medidas de confinamiento, 2020-05-17T04:54:50,                          capitalcoahuila.com.mx-?p=176615, wordpress
253,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176609, Venezuela registra un salto de casos por coronavirus, 2020-05-16T21:39:55,                          capitalcoahuila.com.mx-?p=176609, wordpress
254,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176607, México supera 5000 muertes por coronavirus en etapa más alta de contagios, 2020-05-16T20:39:58,                          capitalcoahuila.com.mx-?p=176607, wordpress
255,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176599, Asamblea de Ecuador aprueba reformas laborales por pandemia en medio de críticas, 2020-05-16T16:54:58,                          capitalcoahuila.com.mx-?p=176599, wordpress
256,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176597, Fiat Chrysler tiene derecho a solicitar un préstamo respaldado por el Estado italiano: Conte, 2020-05-16T16:25:00,                          capitalcoahuila.com.mx-?p=176597, wordpress
257,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176595, Primer ministro Conte dice que Italia asume un riesgo calculado al iniciar desconfinamiento, 2020-05-16T15:54:59,                          capitalcoahuila.com.mx-?p=176595, wordpress
258,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176591, Nuevas reglas en sector energético profundizan tensión entre México y aliados, 2020-05-16T15:09:57,                          capitalcoahuila.com.mx-?p=176591, wordpress
259,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176585, Asamblea Ecuador aprueba reformas laborales en medio de pandemia medida genera fuertes críticas, 2020-05-16T13:09:54,                          capitalcoahuila.com.mx-?p=176585, wordpress
260,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176569, Con la ola de calor los griegos regresan a las playas pero con sombrillas a distancia, 2020-05-16T08:09:53,                          capitalcoahuila.com.mx-?p=176569, wordpress
261,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=176563, España pone en cuarentena a viajeros que llegan al país mientras las muertes disminuyen, 2020-05-16T06:09:51,                          capitalcoahuila.com.mx-?p=176563, wordpress
