parameter,newspaper,title,date,date_policy,search_,type_newspaper
protocolo seguridad coronavirus, https://amqueretaro.com/?p=768215, «En carne propia vivimos el estado de alarma en China»: Jorge Torres queretano en Shangai, 2020-02-04T22:37:22,,                          amqueretaro.com-?p=768215, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=768078, Queretanos en China: narran de primera fuente la crisis que se vive por Coronavirus, 2020-02-04T11:10:19,,                          amqueretaro.com-?p=768078, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=768036, Interjet toma medidas por coronavirus, 2020-02-04T07:54:36,,                          amqueretaro.com-?p=768036, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=765916, AIQ emite comunicado sobre protocolo de seguridad en tema de salud, 2020-01-22T18:18:18,,1, wordpress
protocolo seguridad coronavirus, https://www.acontecerperiodico.com/?p=6804, Gobierno de Ecatepec y empresarios acuerdan medidas para enfrentar pandemia por Covid-19; municipio ha cancelado 17 eventos por contingencia, 2020-04-16T01:09:22,,                          acontecerperiodico.com-?p=6804, wordpress
protocolo seguridad coronavirus, https://acropolismultimedios.mx/?p=127202, Capacitación y actualización constante al personal médico ante COVID-19, 2020-03-31T20:30:41,,                          acropolismultimedios.mx-?p=127202, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=500974, Empresas listas para reanudar actividades, 2020-05-19T00:51:01,,                          heraldo.mx-?p=500974, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=500972, Descuido en casa, 2020-05-19T00:48:39,,                          heraldo.mx-?p=500972, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=500802, Anuncia AMLO inspecciones por sorteo a empresas, 2020-05-18T08:22:39,,                          heraldo.mx-?p=500802, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=500617, En dos semanas, 2020-05-17T01:01:56,,                          heraldo.mx-?p=500617, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=499938, Denuncian ante la FGR el “Sirenazo” municipal, 2020-05-13T17:26:47,,                          heraldo.mx-?p=499938, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=499869, Inminente la reactivación del sector productivo: MOS, 2020-05-13T01:16:38,,                          heraldo.mx-?p=499869, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=499498, Añoraron la emblemática fecha, 2020-05-11T01:08:17,,                          heraldo.mx-?p=499498, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=499339, Extrema cautela, 2020-05-10T00:43:06,,                          heraldo.mx-?p=499339, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=499331, Morir en tiempos de la pandemia, 2020-05-10T00:35:51,,                          heraldo.mx-?p=499331, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=498566, Escalpelo 06 de Mayo, 2020-05-06T01:28:39,,                          heraldo.mx-?p=498566, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=495958, Inspiración que deja de lado los miedos, 2020-04-22T01:15:02,,                          heraldo.mx-?p=495958, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=495947, Cuando cruzar la puerta es un riesgo, 2020-04-22T01:10:10,,                          heraldo.mx-?p=495947, wordpress
protocolo seguridad coronavirus, https://www.heraldo.mx/?p=494888, Atenderá &#8216;Médico en tu Casa&#8217; a sospechosos de COVID-19, 2020-04-17T07:33:51,,                          heraldo.mx-?p=494888, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=494761, Cruz Roja se suma contra el COVID-19, 2020-04-16T01:02:44,,                          heraldo.mx-?p=494761, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=494432, Conservan empleo por el momento, 2020-04-14T17:24:05,,                          heraldo.mx-?p=494432, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=493800, Apoyo logístico seguro e higiénico, 2020-04-11T16:56:19,,                          heraldo.mx-?p=493800, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=493060, Brigadas médicas salen a convencer, 2020-04-07T17:18:43,,                          heraldo.mx-?p=493060, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=492656, Surge una luz, 2020-04-05T01:16:38,,                          heraldo.mx-?p=492656, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=492137, Golpea la crisis a los panificadores, 2020-04-02T17:51:43,,                          heraldo.mx-?p=492137, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=491663, Que sea para los más necesitados, 2020-03-31T00:54:26,,                          heraldo.mx-?p=491663, wordpress
