,parameter,newspaper,title,date,date_policy,search_,type_newspaper
72,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=463007, Como en la feria y con el Covid-19 cada quien habla de cómo le va en ella, 2020-04-16T03:00:37,,1, wordpress
73,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=462638, Reabren algunas actividades en Austria Italia y España, 2020-04-14T13:26:20,,                          lajornadasanluis.com.mx-?p=462638, wordpress
74,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=462625, Elaboran en UNAM plataforma de información geográfica sobre Covid-19, 2020-04-14T12:59:29,,                          lajornadasanluis.com.mx-?p=462625, wordpress
75,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=462146, ¿Por qué Nueva York es tan golpeada por el coronavirus?, 2020-04-11T20:14:07,,                          lajornadasanluis.com.mx-?p=462146, wordpress
76,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=462025, EU supera a Italia en decesos por coronavirus, 2020-04-11T12:10:54,,                          lajornadasanluis.com.mx-?p=462025, wordpress
77,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=462007, Por Covid-19 escuelas de NY permanecerán cerradas todo el año escolar, 2020-04-11T11:02:10,,                          lajornadasanluis.com.mx-?p=462007, wordpress
78,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=461519, Aún se respira miedo en Wuhan pese al fin del confinamiento, 2020-04-09T10:12:27,,                          lajornadasanluis.com.mx-?p=461519, wordpress
79,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=460877, Nueva York amplía confinamiento hasta el 29 de abril, 2020-04-06T12:50:22,,                          lajornadasanluis.com.mx-?p=460877, wordpress
80,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=460777, Acciones del gobierno se encaminan a restablecer la normalidad: AMLO, 2020-04-05T19:20:52,,1, wordpress
81,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=460687, La Reina Isabel II pide a los británicos quedarse en casa, 2020-04-05T11:17:56,,                          lajornadasanluis.com.mx-?p=460687, wordpress
82,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=451167, “Vamos a profundizar en el cambio no vamos dar marcha atrás”: AMLO, 2020-04-04T10:37:09,,                          lajornadasanluis.com.mx-?p=451167, wordpress
83,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=451090, Reportan pérdida acelerada de empleos en EU por la crisis sanitaria, 2020-04-03T19:52:27,,                          lajornadasanluis.com.mx-?p=451090, wordpress
84,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=422935, Sin registro de casos de Covid-19 en cinco países africanos, 2020-03-31T14:51:57,,                          lajornadasanluis.com.mx-?p=422935, wordpress
85,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=422514, Suman 771 muertos en Holanda a causa del coronavirus, 2020-03-29T11:09:01,,                          lajornadasanluis.com.mx-?p=422514, wordpress
86,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=421818, Más de un tercio de la humanidad confinada por la pandemia, 2020-03-25T10:12:16,,                          lajornadasanluis.com.mx-?p=421818, wordpress
87,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=421806, Aumenta carga de trabajo para mujeres ante medidas sanitarias: ONU, 2020-03-25T09:55:41,,                          lajornadasanluis.com.mx-?p=421806, wordpress
88,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=421649, Decreta India 21 días de cuarentena contra el coronavirus, 2020-03-24T14:07:43,,                          lajornadasanluis.com.mx-?p=421649, wordpress
89,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=421492, Ordena Johnson confinar a los británicos en casa, 2020-03-23T16:49:02,,                          lajornadasanluis.com.mx-?p=421492, wordpress
90,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=421394, Sin escuela 95% de los niños de AL y el Caribe por el coronavirus, 2020-03-23T09:08:26,,                          lajornadasanluis.com.mx-?p=421394, wordpress
91,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=421305, Despeja el coronavirus las calles de la Ciudad de México, 2020-03-22T13:12:17,,                          lajornadasanluis.com.mx-?p=421305, wordpress
92,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=421211, El geriátrico Dr. Nicolás Aguilar da a conocer medidas contra Covid-19, 2020-03-21T15:52:26,,                          lajornadasanluis.com.mx-?p=421211, wordpress
93,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=421205, Por crisis sanitaria aplazan elecciones presidenciales en Bolivia, 2020-03-21T15:24:20,,                          lajornadasanluis.com.mx-?p=421205, wordpress
94,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=421121, En aislamiento preventivo casi 900 mil alumnos: SEGE, 2020-03-20T19:47:03,,                          lajornadasanluis.com.mx-?p=421121, wordpress
95,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=421056, “No se escatimarán recursos para proteger a la población en SLP”: alcalde, 2020-03-20T16:18:56,,                          lajornadasanluis.com.mx-?p=421056, wordpress
96,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420993, Confirman primer caso de coronavirus en Zacatecas, 2020-03-20T11:52:29,,                          lajornadasanluis.com.mx-?p=420993, wordpress
97,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420747, Brasil y Colombia endurecen sus fronteras por el Covid-19, 2020-03-19T11:48:35,,                          lajornadasanluis.com.mx-?p=420747, wordpress
98,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420735, El coronavirus ya está en 150 países, 2020-03-19T11:19:33,,                          lajornadasanluis.com.mx-?p=420735, wordpress
