Municipio,estado,Date,Diagnósticos,Semáforo
Chanal,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Chapultenango,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Chenalhó,Chiapas,13-May,2,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Chiapa de Corzo,Chiapas,13-May,10,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Chiapilla,Chiapas,13-May,2,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Chicoasén,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Chicomuselo,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Chilón,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Escuintla,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Francisco León,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Frontera Comalapa,Chiapas,13-May,2,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Frontera Hidalgo,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
La Grandeza,Chiapas,13-May,0,"Indicador Verde porque es un municipio sin casos de Covid y sus vecinos también están libres de contagios, según los datos revisados por Aristegui Noticias"
Huehuetán,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Huixtán,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Huitiupán,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Huixtla,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
La Independencia,Chiapas,13-May,2,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Ixhuatán,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Ixtacomitán,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Ixtapa,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Ixtapangajoya,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Jiquipilas,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Jitotol,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Juárez,Chiapas,13-May,2,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Larráinzar,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
La Libertad,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
